Ticker,EPS_2021,EPS_2022
CSL,7.91,17.56
CSR,-0.47,-1.35
CSTM,1.981386,2.209139
CSV,1.81,2.63
CSW,,4.2
CTA^A,,
CTA^B,,
CTBB,,
CTDD,,
CTEV,6.4,-36.0
CTO,1.563333,-0.09
CTO^A,,
CTOS,-0.75,0.16
CTRA,2.3,5.09
CTRE,0.74,-0.08
CTRI,0.467521,-1.940351
CTS,-1.3,1.85
CTVA,2.37,1.58
CUBB,,
CUBE,1.09,1.29
CUBI,8.91,6.51
CUBI^F,,
CUK,-8.46,-5.16
CULP,,-0.26
CURB,0.197154,0.24556
CURV,,-0.27
CUZ,1.87,1.11
CVE,0.27,3.2
CVEO,-0.04,-0.21
CVI,0.25,4.6
CVLG,1.805,3.5
CVNA,-1.63,-15.74
CVS,5.95,3.26
CVX,8.14,18.28
CW,6.58,7.62
CWAN,-0.05,-0.04
CWEN,0.44,4.99
CWH,6.07,3.22
CWK,1.1,0.86
CWT,1.96,1.77
CX,0.504,0.579
CXE,0.4,-1.09
CXH,0.54,-2.0
CXM,,-0.57
CXT,3.13933,3.612144
CXW,-0.43,1.03
CYD,6.67,5.35
CYH,1.76,0.35
D,3.98,1.09
DAC,51.15,27.28
DAL,0.44,2.06
DAN,1.35,-1.69
DAO,-8.18,-5.88
DAR,3.9,4.49
DAVA,0.76,1.43
DAY,-0.5,-0.48
DB,0.93,2.37
DBD,-1.01,-7.36
DBI,,2.0
DBL,1.6,-3.34
DBRG,-3.12,-2.47
DBRG^H,,
DBRG^I,,
DBRG^J,,
DCI,2.24,2.66
DCO,11.06,2.33
DD,2.16,11.61
DDD,2.55,-0.96
DDL,-51.75,-3.765
DDS,,41.88
DDT,,
DE,18.99,23.28
DEA,0.875,0.85
DEC,-8.2,-14.82
DECK,2.245,2.71
DEI,0.37,0.55
DELL,,7.02
DEO,6.277853,6.777605
DFH,1.27,2.45
DFIN,4.14,3.17
DFP,2.2,-4.25
DG,,10.17
DGX,15.55,7.97
DHF,0.97,0.0
DHI,11.41,16.51
DHR,8.61,9.66
DHT,-0.07,0.37
DHX,-0.64,0.09
DIAX,2.53,-0.75
DIN,5.66,4.96
DINO,3.39,14.28
DIS,1.09,1.72
DK,-2.75,3.59
DKL,3.79,3.66
DKS,,13.87
DLB,2.97,1.81
DLNG,1.14,1.15
DLNG^A,,
DLNG^B,,
DLR,5.94,1.13
DLR^J,,
DLR^K,,
DLR^L,,
DLX,1.45,1.5
DLY,2.53,-3.6
DMA,,0.23
DMB,-0.01,0.09
DMO,1.79,-2.05
DNA,-55.6,-50.0
DNB,-0.17,-0.01
DNOW,0.05,1.13
DNP,1.58,-0.01
DOC,0.93,0.92
DOCN,-0.21,-0.24
DOCS,0.12096,0.7
DOLE,-0.1,0.91
DOUG,1.209524,-0.07619
DOV,7.74,7.42
DOW,8.38,6.28
DPG,3.22,-0.33
DQ,9.85,23.86
DRD,16.72,13.06
DRH,-0.96,0.47
DRH^A,,
DRI,4.77,7.39
DSL,3.52,-4.52
DSM,0.5,-1.46
DSU,0.74,-0.42
DSX,0.61,1.36
DSX^B,,
DT,0.26,0.18
DTB,,
DTE,4.67,5.52
DTF,0.42,-3.24
DTG,,
DTM,3.16,3.81
DTW,,
DUK,4.94,3.33
DUK^A,,
DUKB,,
DV,0.18,0.25
DVA,8.9,5.85
DVN,4.19,9.12
DX,2.78,3.17
DX^C,,
DXC,,2.81
DXYZ,,-0.36
DY,,1.57
E,3.2,7.9
EAF,1.46,1.48
EAI,,
EARN,-0.5,-2.29
EAT,2.83,2.58
EB,-1.47,-0.56
EBF,,1.11
EBR,3.641737,1.581061
EBS,4.27,-4.47
EC,8120.78895,16249.360628
ECAT,0.79,-2.87
ECC           ,,
ECC^D,,
ECCC,,
ECCF,,
ECCU,,
ECCV,,
ECCW,,
ECCX,,
ECG,2.146316,2.44803
ECL,3.91,3.81
ECO,-0.03,2.63
ECVT,0.01,0.52
ED,3.85,4.66
EDD,0.08,-1.29
EDF,0.08,-1.35
EDN,-487.8,-399.2
EDU,2.0,-7.0
EE,0.0,0.51
EEA,1.26,-2.24
EEX,-1.59,0.46
EFC,2.58,-1.43
EFC^A,,
EFC^B,,
EFC^C,,
EFC^D,,
EFR,1.625,-1.017
EFT,2.263,-0.454
EFX,6.02,5.65
EFXT,-0.164703,-0.766284
EG,34.62,15.19
EGO,-0.75,-1.93
EGP,3.9,4.36
EGY,1.37,0.73
EHAB,2.226527,1.26
EHC,4.11,2.7
EHI,1.68,-1.36
EIC,0.98,-2.28
EICA,,
EICB,,
EICC,,
EIG,4.17,1.75
EIIA,,
EIX,2.0,1.6
EL,7.79,6.55
ELAN,-0.97,-0.15
ELC,,
ELF,0.12,0.41
ELME,0.19,-0.36
ELP,7.237398,1.625021
ELPC,7.237398,1.625021
ELS,1.43,1.53
ELV,24.73,24.81
EMA,1.98,3.55
EMD,-0.59,-2.47
EME,7.06,8.1
EMF,3.15,-5.3
EMN,6.25,6.35
EMO,10.65,11.22
EMP,,
EMR,3.82,5.41
ENB,2.87,1.28
ENFY,-17.49,-10.52
ENIC,0.071955,1.05885
ENJ,,
ENO,,
ENOV,1.380001,-0.25
ENR,2.11,-3.37
ENS,,3.36
ENVA,6.79,6.19
EOD,1.71,-0.93
EOG,7.99,13.22
EOI,3.617,-2.513
EOS,3.889,-6.372
EOT,1.963,-0.919
EP^C,,
EPAC,0.63,0.28
EPAM,8.15,7.09
EPC,2.12,1.84
EPD,2.1,2.5
EPR,1.0,2.03
EPR^C,,
EPR^E,,
EPR^G,,
EPRT,0.82,0.99
EQBK,3.43,3.51
EQH,-1.24,5.46
EQH^A,,
EQH^C,,
EQNR,2.63,9.03
EQR,3.54,2.05
EQS,0.19,-0.08
EQT,-3.58,4.38
EQV,,
ERJ,-0.24,-1.0
ERO,2.21,1.1
ES,3.54,4.05
ESAB,3.918647,3.69
ESE,2.421201,3.16
ESI,0.82,0.76
ESNT,6.11,7.72
ESRT,-0.06,0.22
ESS,7.51,6.27
ESTC,-1.48,-2.2
ET,1.89,1.4
ET^I,,
ETB,3.119,-2.097
ETD,2.37,4.05
ETG,7.763,-5.04
ETI^,,
ETJ,1.204,-1.52
ETN,5.34,6.14
ETO,10.774,-7.245
ETR,2.77,2.685
ETV,2.923,-2.745
ETW,1.5,-1.708
ETWO,,-0.68
ETX           ,,
ETY,3.794,-1.889
EVC,0.33,0.21
EVEX,-0.069065,-0.68
EVF,1.107,-0.518
EVG,1.136,-1.632
EVH,-0.44,-0.2
EVN,0.672,-2.421
EVR,17.08,11.61
EVT,9.393,-2.853
EVTC,2.21,3.45
EVTL,-19.8,-5.26
EW,2.38,2.44
EXG,3.031,-1.723
EXK,0.08,0.03
EXP,,9.14
EXPD,8.27,8.26
EXR,6.19,6.41
F,4.45,-0.49
F^B,,
F^C,,
F^D,,
FAF,11.14,2.45
FBIN,5.54,5.23
FBK,3.97,2.64
FBP,1.31,1.59
FBRT,-0.18,-0.38
FBRT^E,,
FC,0.96,1.27
FCF,1.44,1.37
FCN,6.65,6.58
FCPT,1.11,1.2
FCRX,,
FCT,1.45,-0.43
FCX,2.9,2.39
FDP,1.68,2.06
FDX,19.45,14.33
FE,2.35,0.71
FEDU,-12.2,-50.4
FENG,-16.8,-9.12
FERG,6.705,9.69
FET,-14.65,0.62
FF,0.6,0.35
FFA,4.35,-3.43
FFC,1.65,-3.26
FFWM,2.41,1.96
FG,11.81,5.52
FGN,,
FGSN,,
FHI,2.75,2.65
FHN,1.74,1.53
FHN^B,,
FHN^C,,
FHN^E,,
FHN^F,,
FI,1.99,3.91
FICO,13.4,14.18
FIGS,-0.06,0.11
FIHL,0.34,0.26
FINS,-0.59,1.1
FINV,8.45,7.8
FIS,0.67,-27.68
FIX,3.93,6.82
FL,,8.61
FLC,1.74,-3.52
FLG,3.6,3.78
FLG^A,,
FLG^U,,
FLNG,3.04,3.51
FLO,0.97,1.07
FLOC,,0.371163
FLR,-3.29,0.73
FLS,0.96,1.44
FLUT,-3.191891,-2.067021
FMC,5.7,5.81
FMN,0.81,-2.76
FMS,1.655,1.15
FMX,15.926885,13.837582
FMY,0.19,-1.17
FN,3.95,5.36
FNB,1.23,1.22
FND,2.64,2.78
FNF,8.44,4.1
FNV,3.84915,3.65
FOA,-41.468316,-31.2
FOF,2.41,-2.53
FOR,2.25,3.59
FOUR,-0.89,1.05
FOUR^A,,
FPF,3.8,-4.96
FPH,0.09,-0.23
FPI,-0.17,0.16
FR,2.09,2.72
FRA,0.84,-0.27
FRGE,-1.639751,-12.0
FRO,-0.06,2.21
FRT,3.26,4.71
FRT^C,,
FSCO,,-0.79
FSK,7.16,0.32
FSLY,-1.92,-1.57
FSM,0.23,-0.44
FSS,1.63,1.97
FT,1.23,-0.29
FTHY,2.2,-1.98
FTI,0.03,-0.24
FTK,-2.52,-3.41
FTS,2.61,2.78
FTV,1.63,2.1
FUBO,-2.78,-3.08
FUL,3.23,3.26
FUN,-0.853379,5.45
FVR,-0.186764,-0.298494
FVRR,-1.81,-1.94
G,1.91,1.88
GAB,1.35,-0.68
GAB^G,,
GAB^H,,
GAB^K,,
GAM,12.36,-7.2
GAM^B,,
GAP,,0.67
GATX,3.98,4.35
GB,-2.28,-0.49
GBAB,2.22,-2.94
GBCI,2.86,2.74
GBLI,1.97,-0.09
GBTG,0.0,-0.51
GBX,0.96,1.4
GCI,-1.0,-0.57
GCO,,7.92
GCTS,-0.817276,-0.652404
GCV,0.12,
GD,11.55,12.19
GDDY,1.42,2.19
GDL,0.24,-0.18
GDO,1.36,-4.22
GDOT,0.85,1.19
GDV,6.2,-4.16
GDV^H,,
GDV^K,,
GE,-6.16,0.05
GEF,6.54,6.3
GEL,-1.96,-0.04
GENI,-3.93,-0.91
GEO,0.58,1.17
GES,,2.57
GETY,0.143179,-0.53
GEV,-2.326491,-10.055734
GF,0.58,-6.4
GFF,1.48,-3.71
GFI,0.88,0.78
GFL,-1.83,-1.08
GFR,9.636069,1.918607
GGB,7.239271,5.34
GGG,2.52,2.66
GGT,1.171557,-3.288236
GGT^E,,
GGT^G,,
GGZ,3.75,-3.83
GHC,70.45,13.79
GHG,2.05,-4.13
GHI,1.53,2.62
GHLD,4.67,5.35
GHM,,-0.83
GHY,2.47,-2.37
GIB,5.41,6.04
GIC,2.71,2.06
GIL,3.07,2.93
GIS,3.78,4.42
GJH,,
GJO,,
GJP,,
GJR,,
GJS,,
GJT,,
GKOS,-1.07,-2.09
GL,7.22,7.47
GL^D,,
GLOB,2.28,3.47
GLOP^A,,
GLOP^B,,
GLOP^C,,
GLP,1.31,10.02
GLP^B,,
GLW,1.28,1.54
GM,6.7,6.13
GME,,-1.3125
GMED,1.44,1.85
GMRE,0.19,0.2
GMRE^A,,
GMS,,6.23
GNE,1.11,3.26
GNK,4.27,3.7
GNL,-0.2,-0.09
GNL^A,,
GNL^B,,
GNL^D,,
GNL^E,,
GNRC,8.3,5.42
GNT,0.54,0.31
GNT^A,,
GNTY,3.26,3.34
GNW,1.76,1.19
GOF,3.95,-0.53
GOLF,2.38,2.75
GOOS,0.63,0.87
GOTU,-12.113333,0.046667
GPC,6.23,8.31
GPI,30.11,47.14
GPJA,,
GPK,0.68,1.69
GPMT,1.23,-1.04
GPMT^A,,
GPN,3.29,0.4
GPOR,,20.32
GPRK,0.99,3.782235
GRBK,3.72,6.02
GRBK^A,,
GRC,1.14,0.43
GRDN,0.268128,0.58216
GRMN,5.61,5.04
GRND,0.029183,0.01
GRNT,0.82,1.97
GROV,-4.173625,-4.85
GRX,2.48,-2.76
GS,59.450001,30.06
GS^A,,
GS^C,,
GS^D,,
GSBD,1.89,0.54
GSK,2.165,7.324
GSL,4.476511,7.62
GSL^B,,
GTES,1.0,0.77
GTLS,1.44,0.54
GTLS^B,,
GTN,0.4,4.33
GTY,1.37,1.88
GUG,,
GUT,0.708219,-0.242599
GUT^C,,
GVA,0.22,1.7
GWH,-85.95,-7.65
GWRE,-0.79,-2.16
GWW,19.84,30.06
GXO,1.32,1.67
H,-2.13,4.09
HAE,1.55,0.84
HAFN,-0.15,1.54
HAL,1.63,1.74
HASI,1.51,0.47
HAYW,0.49,0.78
HBB,1.53,1.81
HBI,0.22,-0.36
HBM,-0.93,0.27
HCA,21.16,19.15
HCC,2.93,12.4
HCI,0.21,-6.24
HCXY,,
HD,,15.53
HDB,177.06,208.14
HE,2.25,2.2
HEI,2.21,2.55
HEI/A,,
HEQ,1.44,-0.15
HES,1.804711,7.11
HESM,1.76,2.01
HFRO,1.82,0.44
HFRO^A,,
HFRO^B,,
HG,1.71095,-0.891021
HGLB,3.2,0.67
HGTY,-0.56,-0.07
HGV,1.75,2.93
HHH,1.03,3.65
HI,3.31,2.89
HIG,1.47,5.44
HIG^G,,
HII,13.5,14.44
