Ticker,EPS_2021,EPS_2022
CTRM,4.7,12.53
CTRN,,6.91
CTSH,4.05,4.41
CTSO,-0.567178,-0.746287
CTXR,-5.75,-5.75
CUB,,
CUBWU,,
CUBWW,,
CUE,-1.41,-1.49
CUPR,-0.024747,-0.05212
CURI,-1.02,-0.96
CURIW,,
CURR,-0.436989,-0.490811
CV,,
CVAC,-2.21,-1.32
CVBF,1.56,1.67
CVCO,8.25,21.34
CVGI,0.72,-0.68
CVGW,-0.67,-0.35
CVKD,,
CVLT,,0.71
CVRX,-4.16,-2.02
CVV,0.705889,-0.03
CWBC,2.31,2.27
CWCO,0.06,0.38
CWD,-0.710288,1.980477
CWST,0.8,1.03
CXAI,0.27,-4.003403
CXAIW,,
CXDO,-0.12,-1.54
CYBR,-2.12,-3.21
CYCC,-513.6,-456.0
CYCCP,,
CYCN,-26.4,-20.28
CYCU,,-0.129488
CYCUW,,
CYN,-4016.235324,-8454.545412
CYRX,-6.18,-0.93
CYTK,-2.8,-4.33
CZFS,7.162955,7.175767
CZNC,1.92,1.71
CZR,-4.83,-4.19
CZWI,1.98,1.69
DAAQ,,
DAAQU,,
DAAQW,,
DAIC,,-0.038999
DAICW,,
DAIO,-0.06,-0.13
DAKT,,0.01
DALN,-0.09,-1.83
DARE,-7.56,-4.44
DASH,-1.39,-3.68
DATS,-7.1,-6.04
DATSW,,
DAVE,-1.720427,-10.924896
DAVEW,,
DAWN,-4.62,-2.17
DBVT,-8.9,-6.2
DBX,0.85,1.52
DCBO,-0.41,0.21
DCGO,0.25,0.34
DCOM,2.45,3.73
DCOMG,,
DCOMP,,
DCTH,-3.59,-4.12
DDI,1.698,-4.7215
DDOG,-0.07,-0.16
DEFT,-0.37,-0.32
DENN,1.19,1.23
DERM,-4.32,-1.69
DEVS,,-0.002831
DFDV,-1.294841,-1.009975
DFLI,0.870527,-9.27
DFLIW,,
DFSC,-3091.204198,-3025.050001
DFSCW,,
DGICA,0.83,-0.06
DGICB,0.83,-0.06
DGII,0.31,0.54
DGLY,20280.0,-17000.0
DGNX,,-0.57233
DGXX,-0.14,0.16
DH,-0.19,-0.06
DHAI,,0.199684
DHAIW,,
DHC,0.73,-0.07
DHCNI,,
DHCNL,,
DHIL,23.34,13.01
DIBS,-1.08,-0.59
DIOD,5.0,7.2
DJCO,81.77,-54.81
DJT,-0.432303,0.369594
DJTWW,-0.432303,0.369593
DKNG,-3.78,-3.16
DLHC,0.75,1.64
DLO,0.25,0.35
DLPN,-1.7,-1.12
DLTH,,0.9
DLTR,,5.8
DLXY,,0.015474
DMAA,,
DMAAR,,
DMAAU,,
DMAC,-0.65,-0.52
DMLP,1.94,3.35
DMRC,-2.11,-3.12
DNLI,-2.39,-2.6
DNTH,-0.884685,-1.921756
DNUT,-0.18,-0.1
DOCU,,-0.36
